SETID	NUM_ITEMS	EFFECT	COMMENTS
110001	11	set_bonus_imperial_snow_armor_11	
120001	3	set_bonus_gcw_jewelry_01	
120001	4	set_bonus_gcw_jewelry_02	
120001	5	set_bonus_gcw_jewelry_03	
130001	3	set_bonus_ent_1	
130001	4	set_bonus_ent_2	
130001	5	set_bonus_ent_3	
140001	3	set_bonus_trader_1	
140001	4	set_bonus_trader_2	
140001	5	set_bonus_trader_3	
150001	3	set_bonus_bm_1	
150001	4	set_bonus_bm_2	
150001	5	set_bonus_bm_3	
160001	3	set_bonus_trader_a_1	
160001	4	set_bonus_trader_a_2	
160001	5	set_bonus_trader_a_3	
170001	3	set_bonus_trader_b_1	
170001	4	set_bonus_trader_b_2	
170001	5	set_bonus_trader_b_3	
180001	3	set_bonus_ent_a_1	
180001	4	set_bonus_ent_a_2	
180001	5	set_bonus_ent_a_3	
190001	3	set_bonus_ent_b_1	
190001	4	set_bonus_ent_b_2	
190001	5	set_bonus_ent_b_3	
200001	3	set_bonus_bm_utility_1	
200001	4	set_bonus_bm_utility_2	
200001	5	set_bonus_bm_utility_3	
210001	3	set_bonus_bm_dps_1	
210001	4	set_bonus_bm_dps_2	
210001	5	set_bonus_bm_dps_3	
220001	3	set_bonus_rebel_spec_ops_3	
220001	5	set_bonus_rebel_spec_ops_5	
220001	7	set_bonus_rebel_spec_ops_7	
220001	9	set_bonus_rebel_spec_ops_9	
220001	10	set_bonus_rebel_spec_ops_10	
230001	3	set_bonus_imperial_spec_ops_3	
230001	5	set_bonus_imperial_spec_ops_5	
230001	7	set_bonus_imperial_spec_ops_7	
230001	9	set_bonus_imperial_spec_ops_9	
230001	10	set_bonus_imperial_spec_ops_10	
240001	1	bonus_elder_bh	
250001	1	bonus_elder_medic	
260001	1	bonus_elder_commando	
270001	1	bonus_elder_smuggler	
280001	1	bonus_elder_trader	
290001	1	bonus_elder_spy	
300001	1	bonus_elder_officer	
310001	1	bonus_elder_ent	
320001	1	bonus_elder_jedi	
320002	1	bonus_elder_beast_master	
330001	3	acklay_armor_bonus_3	
330001	5	acklay_armor_bonus_5	
330001	7	acklay_armor_bonus_7	
330001	9	acklay_armor_bonus_9	
340001	2	strength_earring	
340002	2	agility_earring	
340003	2	constitution_earring	
340004	2	stamina_earring	
340005	2	precision_earring	
340006	2	luck_earring	
340007	2	camouflage_earring	
340008	2	block_value_earring	
340009	2	evasion_value_earring	
340010	2	detect_hidden_earring	
