TEMPLATE	COMMAND
object/tangible/component/droid/binary_load_lifter_droid_chassis.iff	place_statue
object/tangible/loot/mustafar/jedi_statue.iff	place_statue
object/tangible/furniture/tatooine/uber/gungan_statue_s01.iff	place_statue
object/tangible/furniture/tatooine/uber/gungan_statue_s02.iff	place_statue
object/tangible/furniture/tatooine/uber/gungan_statue_s03.iff	place_statue
object/tangible/furniture/tatooine/uber/gungan_statue_s04.iff	place_statue
object/tangible/veteran_reward/frn_yoda_fountain.iff	place_fountain
object/tangible/loot/collectible/collectible_rewards/collectible_sculpture_s01.iff	place_statue
object/tangible/furniture/decorative/event_wroshyr_tree.iff	place_statue
object/tangible/event_perk/life_day_tree.iff	place_statue
object/tangible/furniture/lifeday/lifeday_banner_s03.iff	place_streetlamp
object/tangible/item/quest/force_sensitive/fs_village_bannerpole_s01.iff	place_streetlamp
object/tangible/item/quest/force_sensitive/fs_sculpture_1.iff	place_statue
object/tangible/item/quest/force_sensitive/fs_sculpture_2.iff	place_statue
object/tangible/item/quest/force_sensitive/fs_sculpture_3.iff	place_statue
object/tangible/item/quest/force_sensitive/fs_sculpture_4.iff	place_statue
object/tangible/furniture/decorative/frn_hologram_data_disk_s01.iff	place_statue
object/tangible/veteran_reward/frn_hoth_recapture_gift.iff	place_statue
object/tangible/furniture/decorative/hologram_nebulon_frigate.iff	place_statue
object/tangible/hologram/hologram_aotc_cybernetic_arm.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_corellia.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_dantooine.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_dathomir.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_endor.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_lok.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_naboo.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_rori.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_talus.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_tatooine.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_yavin4.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_corellia_02.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_dantooine_02.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_dathomir_02.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_endor_02.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_lok_02.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_naboo_02.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_rori_02.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_talus_02.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_tatooine_02.iff	place_statue
object/tangible/saga_system/rewards/planet_hologram_yavin4_02.iff	place_statue
object/tangible/tcg/series6/hologram_cloud_city.iff	place_statue
object/tangible/furniture/decorative/frn_hologram_data_disk_s01.iff	place_statue
object/tangible/saga_system/rewards/pgc_monitorscreen.iff	place_statue
object/tangible/saga_system/rewards/pgc_monitorscreen_sm.iff	place_statue
object/building/heroic/axkva_empty_crystal.iff	place_statue
object/building/heroic/axkva_kimaru_crystal.iff	place_statue
object/building/heroic/axkva_lelli_hi_crystal.iff	place_statue
object/building/heroic/axkva_min_crystal.iff	place_statue
object/building/heroic/axkva_suin_chalo_crystal.iff	place_statue
object/tangible/vetern_reward/data_terminal_s1.iff	place_statue
object/tangible/vetern_reward/data_terminal_s2.iff	place_statue
object/tangible/vetern_reward/data_terminal_s3.iff	place_statue
object/tangible/vetern_reward/data_terminal_s4.iff	place_statue
object/tangible/veteran_reward/frn_vet_fireplace.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_corvette.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_darth_vader.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_deathstar.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_imperial_guard.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_jawa.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_lambda.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_luke_skywalker.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_sandcrawler.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_leia.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_starfighter.iff	place_statue
object/tangible/veteran_reward/frn_vet_holo_yoda.iff	place_statue
object/tangible/veteran_reward/frn_vet_houseplant.iff	place_statue
object/tangible/veteran_reward/frn_vet_houseplant_02.iff	place_statue
object/tangible/item/ep3/poi_kash_mystic_tree_sickly.iff	place_statue
object/tangible/item/ep3/poi_kash_mystic_tree_healthy.iff	place_statue
object/mobile/vendor/greeter_gungan_m.iff	place_statue
object/tangible/terminal/gcw_table_bestine_imp.iff	place_statue
object/tangible/terminal/gcw_table_keren_imp.iff	place_statue
object/tangible/terminal/gcw_table_dearic_imp.iff	place_statue
object/tangible/terminal/gcw_table_bestine_reb.iff	place_statue
object/tangible/terminal/gcw_table_keren_reb.iff	place_statue
object/tangible/terminal/gcw_table_dearic_reb.iff	place_statue
object/tangible/tcg/series5/combine_object_itv_atat_head.iff	place_fountain
