Object Template	Comment
item_tcg_loot_reward_series4_relaxation_pool_deed_02_01	
item_tcg_loot_reward_series6_deed_emperor_spire	
item_tcg_loot_reward_series6_deed_rebel_spire	
item_tcg_loot_reward_series7_deed_commando_bunker	
item_tcg_loot_reward_series7_deed_vip_bunker	
item_tcg_loot_reward_series7_deed_vehicle_garage	
item_tcg_loot_reward_series8_yoda_house_deed	
col_mail_opt_in_1_01	
col_mail_opt_in_1_02	
col_mail_opt_in_1_03	
col_mail_opt_in_2_01	
col_mail_opt_in_2_02	
col_mail_opt_in_2_03	
col_mail_opt_in_3_01	
col_mail_opt_in_3_02	
col_mail_opt_in_3_03	
col_mail_opt_in_4_01	
item_mini_vehicle_terminal_barc	
item_mini_vehicle_terminal_awing	
item_mini_vehicle_terminal_basilisk	
item_event_loveday_hearts	
item_beast_holocron_04_01	
item_beast_holocron_04_02	
item_beast_holocron_04_03	
item_beast_holocron_04_04	
item_beast_holocron_04_05	
item_beast_holocron_04_10	
item_tcg_loot_reward_series6_beast_muzzle	
item_tow_schematic_vehicle_02_01	
item_wod_token_1	
item_wod_token_2	
item_wod_token_3	
item_wod_token_4	
item_wod_token_5	
item_wod_health_stim_01_01	
item_wod_detect_hiden_01_01	
item_wod_sm_hanging_sign_01	
item_wod_sm_standing_sign_01	
item_tcg_loot_reward_series3_mandalorian_skull_banner	
item_tcg_loot_reward_series3_merr_sonn_jt12_jetpack_blueprints	
item_tcg_loot_reward_series4_falleens_fist_02_01	
item_tcg_loot_reward_series4_greeter_palowick	
item_storage_increase_05_03	
item_storage_increase_05_04	
item_tcg_loot_reward_series4_home_itv_02_01	
item_tcg_merr_sonn_jt12_jetpack_deed	
item_tcg_loot_reward_series6_buildreward_hk47_jet_pack	
item_tcg_loot_reward_series5_vader_statuette	
item_tcg_loot_reward_series5_atat_blueprint	
item_tcg_loot_reward_series5_atat_statuette	
item_tcg_loot_reward_series6_baby_colo_fish	
item_gcw_rebel_token	
item_gcw_imperial_token	
item_heroic_token_echo_base_01	
item_event_lifeday_rebel_token	
item_event_lifeday_imperial_token	
item_battlefield_rebel_token_massassi_isle	
item_battlefield_imperial_token_massassi_isle	
item_battlefield_imperial_token_massassi_isle	
item_battlefield_rebel_token_battlefield2	
item_battlefield_imperial_token_battlefield2	
item_battlefield_rebel_token_battlefield3	
item_battlefield_imperial_token_battlefield3	
item_battlefield_rebel_token_battlefield4	
item_battlefield_imperial_token_battlefield4	
item_empire_day_imperial_token	
item_empire_day_rebel_token	
item_pgc_token_02	
item_pgc_token_03	
item_lifeday_ascd_gift_01_02	
item_tcg_loot_reward_series1_hans_hydrospanner	
item_tcg_loot_reward_series1_keelkana_tooth	
item_tcg_loot_reward_series1_lepese_dictionary	
item_tcg_loot_reward_series1_mandalorian_strongbox	
item_tcg_loot_reward_series1_nuna_ball_advertisement	
item_tcg_loot_reward_series1_radtrooper_badge	
item_tcg_loot_reward_series1_versafunction88_datapad	
