tusken	ig88	axkva	sd_boss	sd_sub_1	sd_sub_2	sd_sub_3	exar_open_hand	exar_minder	exar_caretaker	exar_hate_fist	exar_exar_kun	echo_base_soldier_junk	echo_base_wampa_junk	echo_base_tauntaun_junk	echo_base_wampa_berserker	echo_base_generic_soldier	echo_base_rebel_soldier	echo_base_imperial_soldier	echo_base_sharpshooter	echo_base_wampa_boss	world_boss	jedi_trial	city_junk	heroic_spawn	fetts_follower	lifeday_special	axkva_suin	axkva_lelli	axkva_kimaru	ascendant_sith	world_boss_weak	world_boss_junk	halloween_boss	ewok_boss	mandalorian_clans
item_heroic_tusken_stairs	item_heroic_ig88_wall_lamp	item_heroic_axkva_min_crystal_s02	item_heroic_destroyer_space_beacon	item_schematic_pistol_heroic_sd_01_01	item_schematic_pistol_heroic_sd_01_01	item_schematic_pistol_heroic_sd_01_01	item_heroic_exar_claw_s02	item_heroic_exar_claw_s02	st_pr_exar_kun_torture_table	item_heroic_exar_claw_s02	item_heroic_exar_claw_s02	heroic_echo_snow_speeder_junk_02_05	heroic_echo_wampa_junk_02_02	heroic_echo_tauntaun_junk_02_02	st_cn_hoth_wampa	st_pr_hoth_light_standing	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	item_tcg_loot_reward_series3_hoth_travel_advertisement	item_lifeday_gift_self_02_11	item_tcg_loot_reward_series4_greeter_palowick		item_junk_npc_11thru15_01_04	item_heroic_random_bracelet_l_01_01	object/tangible/dungeon/death_watch_bunker/gel_packet.iff	item_junk_npc_61thru65_01_05	item_heroic_axkva_min_crystal_s03	item_heroic_axkva_min_crystal_s03	item_heroic_axkva_min_crystal_s03	schematic_exar_kun_carbine_massassi_02_01	item_housepack_xeno_couch_01_01	item_housepack_xeno_recliner_01_01		item_wod_mystical_glowing_orb_01	
item_heroic_tusken_vent_pillar	object/tangible/veteran_reward/resource.iff	item_heroic_axkva_min_crystal_s03	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	item_heroic_exar_roots_s01	item_heroic_exar_roots_s01	st_pr_exar_kun_torture_table	item_heroic_exar_roots_s01	item_heroic_exar_roots_s01	heroic_echo_at_at_junk_02_01	heroic_echo_wampa_junk_02_03	heroic_echo_tauntaun_junk_02_03	st_cn_hoth_wampa	st_pr_hoth_scaffold	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	item_color_crystal_02_22		item_tcg_loot_reward_series1_gorax_ear		item_junk_npc_11thru15_01_05	item_heroic_random_bracelet_l_01_02	object/tangible/dungeon/death_watch_bunker/gel_packet.iff	item_junk_npc_46thru50_01_04	item_heroic_axkva_min_claw	item_heroic_axkva_min_claw	item_heroic_axkva_min_claw	item_heroic_exar_claw_s01	item_housepack_xeno_desk_lamp_01_01	item_housepack_xeno_recliner_01_01		item_vet_reward_78month_ttgm_itt	
item_tcg_loot_reward_series1_sanyassan_skull	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series5_nightsister_backpack	item_heroic_destroyer_cooling_coil	item_heroic_destroyer_cooling_coil	item_heroic_destroyer_cooling_coil	item_heroic_destroyer_cooling_coil	item_heroic_exar_roots_s02	item_heroic_exar_roots_s02	item_heroic_exar_claw_s01	item_heroic_exar_roots_s02	item_heroic_exar_roots_s02	heroic_echo_at_at_junk_02_02	heroic_echo_wampa_junk_02_04	heroic_echo_tauntaun_junk_02_04	st_cn_hoth_wampa	st_pr_hoth_terminal_01	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	item_ascd_token_box_01_01		item_tcg_loot_reward_series3_target_dummy		item_junk_npc_16thru20_01_02	item_heroic_random_bracelet_l_01_03	object/tangible/wearables/goggles/rebreather.iff	item_heroic_exar_gackle_bat_wing_02_01	item_heroic_axkva_min_claw_light	item_heroic_axkva_min_claw_light	item_heroic_axkva_min_claw_light	item_heroic_exar_claw_s02	item_housepack_xeno_desk_lamp_01_01	item_housepack_xeno_rug_01_01		object/tangible/veteran_reward/resource.iff	
item_heroic_tusken_meat_rack	item_tcg_loot_reward_series5_lcd_screen	item_heroic_axkva_min_claw	item_heroic_destroyer_power_transformer	item_heroic_destroyer_power_transformer	item_heroic_destroyer_power_transformer	item_heroic_destroyer_power_transformer	item_heroic_exar_roots_s03	item_heroic_exar_roots_s03	item_heroic_exar_claw_s02	item_heroic_exar_roots_s03	item_heroic_exar_roots_s03	heroic_echo_at_at_junk_02_03	heroic_echo_wampa_junk_02_01	heroic_echo_tauntaun_junk_02_01	st_cn_hoth_wampa	st_pr_hoth_toolbox	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	item_ascd_token_box_01_02		item_tcg_loot_reward_series7_xwing_fighter_familiar		item_junk_npc_16thru20_01_04	item_heroic_random_bracelet_l_01_04	object/tangible/wearables/goggles/rebreather.iff	item_heroic_tusken_old_capacitor_02_01	item_heroic_axkva_min_crystal_s01	item_heroic_axkva_min_crystal_s01	item_heroic_axkva_min_crystal_s01	item_heroic_exar_roots_s01	item_housepack_xeno_table_01_01	item_housepack_xeno_couch_01_01		object/tangible/veteran_reward/resource.iff	
item_heroic_tusken_shelves	item_tcg_loot_reward_series6_cloud_city_hologram	item_heroic_axkva_min_claw_light	item_heroic_destroyer_solar_console	item_heroic_destroyer_solar_console	item_heroic_destroyer_solar_console	item_heroic_destroyer_solar_console	item_heroic_exar_roots_s04	item_heroic_exar_roots_s04	item_heroic_exar_torch	item_heroic_exar_roots_s04	item_heroic_exar_roots_s04	heroic_echo_at_at_junk_02_04	heroic_echo_wampa_junk_02_02	heroic_echo_tauntaun_junk_02_02	st_cn_hoth_wampa	st_pr_hoth_radio	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	item_ascd_token_box_01_03		item_tcg_loot_reward_series7_tie_fighter_familiar		item_junk_droid_31thru35_01_01	item_heroic_random_bracelet_l_01_05	object/tangible/loot/dungeon/death_watch_bunker/fuel_injector_tank.iff	item_treasure_map_bonus_consumable_04_01	item_heroic_axkva_min_crystal_s02	item_heroic_axkva_min_crystal_s02	item_heroic_axkva_min_crystal_s02	item_heroic_exar_roots_s02	item_housepack_xeno_table_01_01	item_housepack_xeno_couch_01_01		item_treasure_map_bonus_consumable_04_01	
item_heroic_tusken_stairs	item_tcg_loot_reward_series8_bespin_sconce_off	item_heroic_axkva_min_crystal_s01	item_heroic_destroyer_space_beacon	item_heroic_destroyer_space_beacon	item_heroic_destroyer_space_beacon	item_heroic_destroyer_space_beacon	item_heroic_exar_torch	item_heroic_exar_torch	item_heroic_exar_brazier	item_heroic_exar_torch	item_heroic_exar_torch	heroic_echo_at_at_junk_02_05	heroic_echo_wampa_junk_02_03	heroic_echo_tauntaun_junk_02_03	st_cn_hoth_wampa	st_pr_hoth_snow_trooper_gun	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	item_lifeday_gift_self_02_11		item_tcg_loot_reward_series1_glowing_red_eyes		item_junk_npc_21thru25_01_02	item_heroic_random_neck_01_06	object/tangible/loot/dungeon/death_watch_bunker/fuel_dispersion_unit.iff	item_treasure_map_bonus_consumable_04_02	item_heroic_axkva_min_crystal_s03	item_heroic_axkva_min_crystal_s03	item_heroic_axkva_min_crystal_s03	item_heroic_exar_roots_s03	item_housepack_xeno_recliner_01_01	item_housepack_xeno_desk_lamp_01_01		item_treasure_map_bonus_consumable_04_02	
item_heroic_tusken_vent_pillar	item_tcg_loot_reward_series8_bespin_sconce_on	item_heroic_axkva_min_crystal_s02	 item_tcg_loot_reward_series5_galactic_hunters_poster	item_tcg_loot_reward_series7_recon_backpack	item_tcg_loot_reward_series5_deathstar_hologram	item_tcg_loot-reward_series5_greeter_senate_guard	item_tcg_loot_reward_series3_gargans_hands_of_seduction	item_tcg_loot_reward_series1_black_corset_dress	item_tcg_loot_reward_series4_location_itv_02_01	item_tcg_loot_reward_series3_guise_of_the_master	item_tcg_loot_reward_series1_sith_speeder	heroic_echo_snow_speeder_junk_02_01	heroic_echo_wampa_junk_02_04	heroic_echo_tauntaun_junk_02_04	item_tcg_loot_reward_series3_wompa_skin_rug	st_pr_hoth_cable_box_01	item_tcg_loot_reward_series7_rebel_graffiti_01	item_tcg_loot_reward_series7_imperial_graffiti_01			item_tcg_loot_reward_series7_deed_vehicle_garage		item_junk_npc_21thru25_01_03	item_heroic_random_neck_01_07	object/tangible/loot/loot_schematic/death_watch_drink_mandalorian_wine_schematic.iff	item_treasure_map_bonus_consumable_04_03	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	item_heroic_exar_roots_s04	item_housepack_xeno_recliner_01_01	item_housepack_xeno_desk_lamp_01_01		item_treasure_map_bonus_consumable_04_03	
object/tangible/veteran_reward/resource.iff	item_tcg_loot_reward_series3_target_dummy	item_heroic_axkva_min_crystal_s03	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	object/tangible/veteran_reward/resource.iff	heroic_echo_snow_speeder_junk_02_02	item_tcg_loot_reward_series4_stuffed_wampa_02_01	item_tcg_loot_reward_series4_stuffed_tauntaun_02_01	st_cn_hoth_wampa	st_pr_hoth_cable_box_02	item_tcg_loot_reward_series7_rebel_graffiti_02	item_tcg_loot_reward_series7_imperial_graffiti_02			item_tcg_loot_reward_series1_barn		item_junk_npc_21thru25_01_05	item_heroic_random_neck_01_08	object/tangible/loot/loot_schematic/death_watch_drink_mandalorian_wine_schematic.iff	object/tangible/veteran_reward/resource.iff	item_tcg_loot_reward_series5_lcd_screen	item_tcg_loot_reward_series5_lcd_screen	item_tcg_loot_reward_series5_lcd_screen	item_heroic_exar_torch	item_housepack_xeno_rug_01_01	item_housepack_xeno_table_01_01		item_treasure_map_bonus_consumable_04_01	
item_tcg_loot_reward-series7_hutt_fighter_familiar	item_housepack_xeno_couch_01_01	object/tangible/veteran_reward/resource.iff	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	heroic_echo_snow_speeder_junk_02_03	heroic_echo_wampa_junk_02_01	heroic_echo_tauntaun_junk_02_01	st_cn_hoth_wampa	st_pr_hoth_cable_box_03	item_tcg_loot_reward_series7_rebel_graffiti_03	item_tcg_loot_reward_series7_imperial_graffiti_03			item_tcg_loot_reward_series4_creature_pet_deed_nuna_02_01		item_junk_npc_26thru30_01_01	item_heroic_random_neck_01_09	item_limited_use_schematic_bounty_dc15_04_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series6_cloud_city_hologram	item_tcg_loot_reward_series6_cloud_city_hologram	item_tcg_loot_reward_series6_cloud_city_hologram	item_housepack_xeno_couch_01_01	item_housepack_xeno_couch_01_01	item_housepack_xeno_table_01_01		item_treasure_map_bonus_consumable_04_02	
item_tcg_loot_reward_series4_falleens_fist_02_01	item_housepack_xeno_desk_lamp_01_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_location_itv_02_01	item_earring_set_01_02	item_earring_set_02_02	item_earring_set_01_02	item_ascd_token_01	item_earring_set_01_02	item_earring_set_02_02	item_color_crystal_02_30	item_tcg_loot_reward_series4_location_itv_02_01	heroic_echo_snow_speeder_junk_02_04	heroic_echo_wampa_junk_02_02	heroic_echo_tauntaun_junk_02_02	st_cn_hoth_wampa	st_pr_hoth_crate_01	item_tcg_loot_reward_series3_hoth_travel_advertisement	item_tcg_loot_reward_series3_hoth_travel_advertisement			item_tcg_loot_reward_series1_organizational_datapad		item_junk_npc_26thru30_01_02	item_heroic_random_neck_01_10	weapon_tow_rifle_lightning_cannon_04_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series8_bespin_sconce_off	item_tcg_loot_reward_series8_bespin_sconce_off	item_tcg_loot_reward_series8_bespin_sconce_off	item_housepack_xeno_desk_lamp_01_01	item_housepack_xeno_couch_01_01	item_housepack_xeno_recliner_01_01		item_treasure_map_bonus_consumable_04_03	
item_tcg_loot_reward_series5_lcd_screen	item_housepack_xeno_table_01_01	item_tcg_loot_reward_series5_lcd_screen	item_earring_set_02_02	item_earring_set_03_02	item_earring_set_04_02	item_earring_set_03_02	item_earring_set_02_02	item_earring_set_03_02	item_earring_set_04_02	item_earring_set_01_02	item_tcg_loot_reward_series5_lcd_screen	heroic_echo_snow_speeder_junk_02_05	heroic_echo_wampa_junk_02_03	heroic_echo_tauntaun_junk_02_03	st_cn_hoth_wampa	st_pr_hoth_crate_02					item_color_crystal_02_29		item_junk_npc_26thru30_01_03	item_heroic_random_neck_01_11	weapon_tow_rifle_dp3_04_01		item_tcg_loot_reward_series8_bespin_sconce_on	item_tcg_loot_reward_series8_bespin_sconce_on	item_tcg_loot_reward_series8_bespin_sconce_on	item_housepack_xeno_table_01_01	item_housepack_xeno_desk_lamp_01_01	item_housepack_xeno_recliner_01_01		item_lifeday_gift_self_02_11	
item_tcg_loot_reward_series6_cloud_city_hologram	item_housepack_xeno_recliner_01_01	item_tcg_loot_reward_series6_cloud_city_hologram	item_earring_set_04_02	item_earring_set_05_02	item_earring_set_06_02	item_earring_set_05_02	item_earring_set_04_02	item_earring_set_05_02	item_earring_set_06_02	item_earring_set_03_02	item_tcg_loot_reward_series6_cloud_city_hologram	item_tcg_loot_reward_series3_hoth_travel_advertisement	heroic_echo_wampa_junk_02_04	heroic_echo_tauntaun_junk_02_04	item_tcg_loot_reward_series3_hoth_travel_advertisement	st_pr_hoth_crate_03					item_power_crystal_04_21		item_junk_npc_26thru30_01_04	item_heroic_random_neck_01_12	weapon_tow_rifle_05_01		item_tcg_loot_reward_series3_target_dummy	item_tcg_loot_reward_series3_target_dummy	item_tcg_loot_reward_series3_target_dummy	item_housepack_xeno_recliner_01_01	item_housepack_xeno_desk_lamp_01_01	item_housepack_xeno_rug_01_01			
item_tcg_loot_reward_series8_bespin_sconce_off	item_housepack_xeno_rug_01_01	item_tcg_loot_reward_series8_bespin_sconce_off	item_earring_set_06_02	item_earring_set_07_02	item_earring_set_08_02	item_earring_set_07_02	item_earring_set_06_02	item_earring_set_07_02	item_earring_set_08_02	item_earring_set_05_02	item_tcg_loot_reward_series8_bespin_sconce_off		heroic_echo_wampa_junk_02_01	heroic_echo_tauntaun_junk_02_01		st_pr_hoth_icicle_01					item_color_crystal_02_27		item_junk_droid_1thru5_01_01	item_heroic_random_neck_01_05	object/weapon/ranged/rifle/ep3/rifle_naktra_crystal.iff		item_housepack_xeno_couch_01_01	item_housepack_xeno_couch_01_01	item_housepack_xeno_couch_01_01	item_housepack_xeno_rug_01_01	item_housepack_xeno_table_01_01	item_tcg_loot_reward_series6_beast_poster_winged_quenker			
