geonosian	geonosian_scientist	geonosian_humanoid	geonosian_mercenary	geonosian_probot	geonosian_droideka	geonosian_kwi	geonosian_kliknik_strong	geonosian_kliknik_weak	geonosian_gaping_spider_fire	geonosian_acklay_bunker_boss
object/tangible/component/weapon/geonosian_power_cube.iff	object/tangible/component/weapon/geonosian_power_cube_red.iff	object/tangible/loot/loot_schematic/geonosian_reinforcement_core_schematic.iff	object/tangible/loot/loot_schematic/geonosian_sword_core_schematic.iff							
object/tangible/component/weapon/geonosian_power_cube.iff	object/tangible/component/weapon/geonosian_power_cube_red.iff	item_tcg_loot_reward_series1_mandalorian_strongbox	item_tcg_loot_reward_series1_radtrooper_badge							
object/tangible/component/weapon/geonosian_power_cube.iff	object/tangible/component/weapon/geonosian_power_cube_yellow.iff									
object/tangible/component/weapon/geonosian_power_cube.iff	object/tangible/loot/loot_schematic/geonosian_sonic_blaster_schematic.iff									
object/tangible/component/weapon/geonosian_power_cube.iff	object/tangible/loot/loot_schematic/geonosian_reinforcement_core_schematic.iff									
object/tangible/component/weapon/geonosian_power_cube_green.iff	object/tangible/loot/loot_schematic/geonosian_sword_core_schematic.iff									
object/tangible/component/weapon/geonosian_power_cube_red.iff	item_tcg_loot_reward_series1_mandalorian_strongbox									
object/tangible/loot/loot_schematic/geonosian_tenloss_dxr6_schematic.iff	item_tcg_loot_reward_series1_radtrooper_badge									
item_tcg_loot_reward_series1_mandalorian_strongbox										
item_tcg_loot_reward_series1_radtrooper_badge										
item_ascd_token_01										
